date,region,cases,import_status
2020-04-17,BAJA CALIFORNIA SUR,3.0,local
2020-04-18,BAJA CALIFORNIA SUR,4.0,local
2020-04-19,BAJA CALIFORNIA SUR,20.0,local
2020-04-20,BAJA CALIFORNIA SUR,12.0,local
2020-04-21,BAJA CALIFORNIA SUR,23.0,local
2020-04-22,BAJA CALIFORNIA SUR,12.0,local
2020-04-23,BAJA CALIFORNIA SUR,1.0,local
2020-04-24,BAJA CALIFORNIA SUR,6.0,local
2020-04-25,BAJA CALIFORNIA SUR,19.0,local
2020-04-26,BAJA CALIFORNIA SUR,18.0,local
2020-04-27,BAJA CALIFORNIA SUR,1.0,local
2020-04-28,BAJA CALIFORNIA SUR,7.0,local
2020-04-29,BAJA CALIFORNIA SUR,9.0,local
2020-04-30,BAJA CALIFORNIA SUR,7.0,local
2020-05-01,BAJA CALIFORNIA SUR,14.0,local
2020-05-02,BAJA CALIFORNIA SUR,8.0,local
2020-05-03,BAJA CALIFORNIA SUR,9.0,local
2020-05-04,BAJA CALIFORNIA SUR,5.0,local
2020-05-05,BAJA CALIFORNIA SUR,7.0,local
2020-05-06,BAJA CALIFORNIA SUR,7.0,local
2020-05-07,BAJA CALIFORNIA SUR,10.0,local
2020-05-08,BAJA CALIFORNIA SUR,5.0,local
2020-05-09,BAJA CALIFORNIA SUR,6.0,local
2020-05-10,BAJA CALIFORNIA SUR,8.0,local
2020-05-11,BAJA CALIFORNIA SUR,11.0,local
2020-05-12,BAJA CALIFORNIA SUR,3.0,local
2020-05-13,BAJA CALIFORNIA SUR,8.0,local
2020-05-14,BAJA CALIFORNIA SUR,11.0,local
2020-05-15,BAJA CALIFORNIA SUR,19.0,local
2020-05-16,BAJA CALIFORNIA SUR,6.0,local
2020-05-17,BAJA CALIFORNIA SUR,14.0,local
2020-05-18,BAJA CALIFORNIA SUR,3.0,local
2020-05-19,BAJA CALIFORNIA SUR,7.0,local
2020-05-20,BAJA CALIFORNIA SUR,7.0,local
2020-05-21,BAJA CALIFORNIA SUR,26.0,local
2020-05-22,BAJA CALIFORNIA SUR,2.0,local
2020-05-23,BAJA CALIFORNIA SUR,17.0,local
2020-05-24,BAJA CALIFORNIA SUR,12.0,local
2020-05-25,BAJA CALIFORNIA SUR,8.0,local
2020-05-26,BAJA CALIFORNIA SUR,8.0,local
2020-05-27,BAJA CALIFORNIA SUR,8.0,local
2020-05-28,BAJA CALIFORNIA SUR,11.0,local
2020-05-29,BAJA CALIFORNIA SUR,26.0,local
2020-05-30,BAJA CALIFORNIA SUR,12.0,local
2020-05-31,BAJA CALIFORNIA SUR,25.0,local
2020-06-01,BAJA CALIFORNIA SUR,12.0,local
2020-06-02,BAJA CALIFORNIA SUR,17.0,local
2020-06-03,BAJA CALIFORNIA SUR,38.0,local
2020-06-04,BAJA CALIFORNIA SUR,16.0,local
2020-06-05,BAJA CALIFORNIA SUR,21.0,local
2020-06-06,BAJA CALIFORNIA SUR,19.0,local
2020-06-07,BAJA CALIFORNIA SUR,11.0,local
2020-06-08,BAJA CALIFORNIA SUR,21.0,local
2020-06-09,BAJA CALIFORNIA SUR,26.0,local
2020-06-10,BAJA CALIFORNIA SUR,57.0,local
2020-06-11,BAJA CALIFORNIA SUR,49.0,local
2020-06-12,BAJA CALIFORNIA SUR,5.0,local
2020-06-13,BAJA CALIFORNIA SUR,38.0,local
2020-06-14,BAJA CALIFORNIA SUR,31.0,local
2020-06-15,BAJA CALIFORNIA SUR,10.0,local
2020-06-16,BAJA CALIFORNIA SUR,38.0,local
2020-06-17,BAJA CALIFORNIA SUR,15.0,local
2020-06-18,BAJA CALIFORNIA SUR,67.0,local
2020-06-19,BAJA CALIFORNIA SUR,6.0,local
2020-06-20,BAJA CALIFORNIA SUR,60.0,local
2020-06-21,BAJA CALIFORNIA SUR,33.0,local
2020-06-22,BAJA CALIFORNIA SUR,33.0,local
2020-06-23,BAJA CALIFORNIA SUR,21.0,local
2020-06-24,BAJA CALIFORNIA SUR,12.0,local
2020-06-25,BAJA CALIFORNIA SUR,37.0,local
2020-06-26,BAJA CALIFORNIA SUR,60.0,local
2020-04-01,CAMPECHE,-1378.0,local
2020-04-02,CAMPECHE,0.0,local
2020-04-03,CAMPECHE,1.0,local
2020-04-04,CAMPECHE,1.0,local
2020-04-05,CAMPECHE,0.0,local
2020-04-06,CAMPECHE,1.0,local
2020-04-07,CAMPECHE,5.0,local
2020-04-08,CAMPECHE,0.0,local
2020-04-09,CAMPECHE,0.0,local
2020-04-10,CAMPECHE,1.0,local
2020-04-11,CAMPECHE,3.0,local
2020-04-12,CAMPECHE,2.0,local
2020-04-13,CAMPECHE,2.0,local
2020-04-14,CAMPECHE,3.0,local
2020-04-15,CAMPECHE,3.0,local
2020-04-16,CAMPECHE,0.0,local
2020-04-17,CAMPECHE,1.0,local
2020-04-18,CAMPECHE,8.0,local
2020-04-19,CAMPECHE,1.0,local
2020-04-20,CAMPECHE,5.0,local
2020-04-21,CAMPECHE,3.0,local
2020-04-22,CAMPECHE,3.0,local
2020-04-23,CAMPECHE,0.0,local
2020-04-24,CAMPECHE,11.0,local
2020-04-25,CAMPECHE,3.0,local
2020-04-26,CAMPECHE,6.0,local
2020-04-27,CAMPECHE,7.0,local
2020-04-28,CAMPECHE,5.0,local
2020-04-29,CAMPECHE,6.0,local
2020-04-30,CAMPECHE,6.0,local
